OCPID,Strain,SampleID,DateRecorded,ReportType,ChemicalLab,H2O,TotalTHC,THC,Δ8-THC,Δ9-THC,THCA,THCV,TotalCBD,CBDA,CBDV,CBDVA,CBC,CBG,CBN,α-Pinene,Camphene,Myrcene,β-Pinene,3-Carene,α-Terpinene,D-Limonene,p-Cymene,Ocimene,Eucalyptol,γ-Terpinene,Terpinolene,Linalool,Isopulegol,Geraniol,β-Caryophyllene,α-Humelene,Nerolidol-1,Nerolidol-2,Guaiol,CaryophylleneOxide,α-Bisabolol,GeneticLab,Sample,SampleURL,Organism,OrganismURL,Project,ProjectURL,Study,StudyURL,Run,RunURL,DatePublished,Spots,Bases,Size,Notes
000420,CHEM 4,17002739,12 May 2018,C,Cascadia Labs,8.60%,193.00,193.00,,0.00,203.00,,0.00,0.00,,,,,,0.18,0.04,1.16,0.22,0.00,0.03,1.57,0.00,0.15,0.05,0.03,0.04,0.37,0.00,0.00,5.48,2.03,0.00,0.00,0.00,0.00,0.87,,,,,,,,,,,,,,,,
000421,Z7,17002740,12 May 2018,C,Cascadia Labs,8.50%,0.00,0.00,,0.00,0.00,,140.00,147.00,,,,,,0.16,0.03,5.15,0.10,0.00,0.03,0.90,0.09,0.00,0.03,0.03,0.04,0.25,0.00,0.00,2.35,1.14,0.00,0.00,0.25,0.00,0.62,,,,,,,,,,,,,,,,
000422,ACDC/Harlequin,17002741,12 May 2018,C,Cascadia Labs,14.80%,141.00,141.00,,0.00,138.00,,56.00,55.00,,,,,,0.22,0.04,3.66,0.15,0.00,0.00,1.72,0.05,0.08,0.06,0.04,0.04,0.39,0.00,0.00,3.11,1.20,0.00,0.00,0.20,0.00,0.32,,,,,,,,,,,,,,,,
000423,HarleyWreck,17002742,12 May 2018,C,Cascadia Labs,8.40%,75.00,75.00,,0.00,79.00,,38.00,40.00,,,,,,0.14,0.02,3.41,0.16,0.00,0.04,1.06,0.07,0.15,0.09,0.04,0.10,0.42,0.00,0.00,2.95,0.99,0.00,0.00,0.25,0.00,0.25,,,,,,,,,,,,,,,,
000424,Sour Amnesia,17002833,12 May 2018,C,Cascadia Labs,13.20%,222.00,222.00,,0.00,222.00,,0.00,0.00,,,,,,0.84,0.08,2.03,0.42,0.29,0.30,1.05,0.21,3.03,0.06,0.33,3.91,0.28,0.00,0.00,1.42,0.58,0.00,0.00,0.00,0.00,0.19,,,,,,,,,,,,,,,,
000425,Jack Herer,17002834,12 May 2018,C,Cascadia Labs,10.10%,245.00,245.00,,0.00,253.00,,0.00,0.00,,,,,,0.79,0.04,2.91,0.64,0.35,0.28,1.67,0.19,4.27,0.05,0.37,4.65,0.44,0.00,0.00,1.70,0.76,0.00,0.00,0.31,0.00,0.35,,,,,,,,,,,,,,,,
000426,Critical Cheese,17002835,12 May 2018,C,Cascadia Labs,10.60%,138.00,138.00,,0.00,142.00,,0.00,0.00,,,,,,4.64,0.22,4.24,1.47,0.00,0.04,1.57,0.00,0.15,0.00,0.03,0.11,0.89,0.00,0.00,0.83,0.44,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,
000427,Sour Tangie,17002836,12 May 2018,B,Cascadia Labs,10.10%,254.00,254.00,,0.00,263.00,,0.00,0.00,,,,,,2.26,0.17,5.68,0.62,0.03,0.03,1.30,0.00,0.07,0.00,0.02,0.06,1.02,0.11,0.16,0.63,0.29,0.14,0.10,0.08,0.07,0.12,Phylos Bioscience,SRS3289200,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SRS3289200"" target=""_blank"">SRS3289200</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA470994,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA470994"" target=""_blank""><small>PRJNA470994</small></a>",SRP145424,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP145424"" target=""_blank""><small>SRP145424</small></a>",SRR7151893,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR7151893"" target=""_blank""><small>SRR7151893</small></a>",2018-05-11,948527,143216564,39.7 MB,
000428,WildFire,17002837,12 May 2018,C,Cascadia Labs,8.20%,165.00,165.00,,0.00,174.00,,0.00,0.00,,,,,,0.60,0.20,3.84,0.78,0.00,0.03,4.10,0.00,0.14,0.00,0.03,0.09,1.08,0.00,0.00,3.22,1.33,0.00,0.00,0.00,0.00,0.41,,,,,,,,,,,,,,,,
000429,Papaya,17002845,12 May 2018,C,Cascadia Labs,9.30%,119.00,119.00,,0.00,124.00,,62.00,65.00,,,,,,0.96,0.13,3.75,0.39,0.00,0.00,3.03,0.05,0.89,0.06,0.04,0.06,0.52,0.00,0.00,0.86,0.32,0.00,0.00,0.00,0.00,0.20,,,,,,,,,,,,,,,,
000430,CBD Critical Mass,17002847,12 May 2018,B,Cascadia Labs,10.10%,68.00,68.00,,0.00,70.00,,104.00,107.00,,,,,,3.00,0.04,8.42,1.07,0.00,0.04,0.88,0.17,0.00,0.00,0.04,0.07,0.80,0.00,0.00,1.89,0.79,0.00,0.00,0.48,0.00,0.00,Phylos Bioscience,SRS3289198,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SRS3289198"" target=""_blank"">SRS3289198</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA470994,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA470994"" target=""_blank""><small>PRJNA470994</small></a>",SRP145424,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP145424"" target=""_blank""><small>SRP145424</small></a>",SRR7151895,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR7151895"" target=""_blank""><small>SRR7151895</small></a>",2018-05-11,865078,130595016,35.7 MB,
000431,Moon Puppies,17002853,12 May 2018,C,Cascadia Labs,9.10%,279.00,279.00,,0.00,291.00,,0.00,0.00,,,,,,1.31,0.18,1.54,0.50,0.43,0.54,1.50,0.26,0.99,0.09,0.48,4.89,0.14,0.00,0.00,1.02,0.41,0.00,0.00,0.00,0.00,0.16,,,,,,,,,,,,,,,,
000432,Master Kush,17002854,12 May 2018,C,Cascadia Labs,9.70%,137.00,137.00,,0.00,142.00,,0.00,0.00,,,,,,0.39,0.13,0.54,0.50,0.00,0.03,2.38,0.00,0.14,0.00,0.03,0.08,0.88,0.00,0.00,1.61,0.55,0.11,0.00,0.00,0.00,0.46,,,,,,,,,,,,,,,,
000433,Romulan Grapefruit,17002855,12 May 2018,C,Cascadia Labs,8.60%,152.00,152.00,,0.00,160.00,,0.00,0.00,,,,,,1.80,0.02,7.51,0.60,0.00,0.04,0.73,0.00,0.12,0.00,0.03,0.05,0.30,0.00,0.00,0.31,0.17,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,
000434,Golden Pineapple,17002856,12 May 2018,C,Cascadia Labs,9.80%,213.00,213.00,,0.00,221.00,,0.00,0.00,,,,,,0.97,0.08,1.88,0.98,0.40,0.31,1.18,0.12,1.25,0.08,0.38,4.58,0.25,0.00,0.00,0.96,0.32,0.00,0.00,0.31,0.00,0.15,,,,,,,,,,,,,,,,
000435,Kush Med,17002857,12 May 2018,C,Cascadia Labs,11.40%,212.00,212.00,,0.00,216.00,,0.00,0.00,,,,,,1.86,0.03,7.02,0.76,0.00,0.04,0.98,0.00,0.12,0.03,0.05,0.06,0.72,0.00,0.00,1.87,0.79,0.00,0.00,0.41,0.00,0.46,,,,,,,,,,,,,,,,
000436,Blackberry Swirl,17002860,12 May 2018,C,Cascadia Labs,9.40%,206.00,206.00,,0.00,214.00,,0.00,0.00,,,,,,0.56,0.19,0.33,0.51,0.00,0.03,3.79,0.00,0.15,0.00,0.03,0.10,0.75,0.00,0.00,1.58,0.55,0.12,0.00,0.00,0.00,0.17,,,,,,,,,,,,,,,,
000437,Chuy Purps,17002862,12 May 2018,C,Cascadia Labs,12.00%,220.00,220.00,,0.00,222.00,,0.00,0.00,,,,,,0.25,0.07,5.17,0.14,0.00,0.04,1.48,0.00,0.13,0.03,0.03,0.11,1.28,0.00,0.00,2.41,0.78,0.00,0.00,0.00,0.00,0.23,,,,,,,,,,,,,,,,
000438,Young Jedi,17002864,12 May 2018,C,Cascadia Labs,14.20%,218.00,218.00,,0.00,215.00,,0.00,0.00,,,,,,1.75,0.14,6.41,0.53,0.00,0.03,1.79,0.00,0.41,0.03,0.04,0.09,0.15,0.00,0.00,1.07,0.33,0.00,0.00,0.15,0.00,0.00,,,,,,,,,,,,,,,,
000439,Double Sour D Mint,17002865,12 May 2018,C,Cascadia Labs,8.70%,153.00,153.00,,0.00,160.00,,0.00,0.00,,,,,,2.66,0.13,2.27,0.89,0.11,0.11,1.12,0.03,0.62,0.04,0.14,1.21,0.69,0.00,0.00,1.65,0.54,0.00,0.00,0.00,0.00,0.21,,,,,,,,,,,,,,,,
000440,Cannatonic,17002866,12 May 2018,C,Cascadia Labs,10.10%,50.00,50.00,,0.00,52.00,,150.00,155.00,,,,,,1.44,0.06,6.30,0.59,0.00,0.04,0.90,0.42,0.18,0.06,0.04,0.12,0.52,0.00,0.00,1.57,0.55,0.00,0.00,0.39,0.07,0.35,,,,,,,,,,,,,,,,
000441,AC/DC,17002867,12 May 2018,C,Cascadia Labs,10.50%,35.00,35.00,,0.00,36.00,,130.00,134.00,,,,,,3.17,0.00,13.29,1.21,0.00,0.07,1.27,0.01,0.00,0.00,0.07,0.08,0.79,0.00,0.00,2.02,0.65,0.00,0.00,0.53,0.00,0.81,,,,,,,,,,,,,,,,
000442,Blue Dream,17002868,12 May 2018,C,Cascadia Labs,11.50%,233.00,233.00,,0.00,237.00,,0.00,0.00,,,,,,4.62,0.08,9.91,1.71,0.00,0.04,0.67,0.00,0.14,0.00,0.04,0.06,0.50,0.00,0.00,1.58,0.60,0.00,0.00,0.00,0.00,0.38,,,,,,,,,,,,,,,,
000443,Lemon Kush X Mountain Girl,17002872,12 May 2018,C,Cascadia Labs,13.90%,237.00,237.00,,0.00,235.00,,0.00,0.00,,,,,,2.81,0.08,13.40,1.08,0.00,0.00,1.89,0.00,0.46,0.00,0.04,0.07,0.35,0.00,0.00,3.24,1.04,0.00,0.00,0.00,0.00,0.45,,,,,,,,,,,,,,,,
000444,Corazon,17002873,12 May 2018,B,Cascadia Labs,9.70%,0.00,0.00,,0.00,0.00,,158.00,164.00,,,,,,1.61,0.05,9.62,0.60,0.00,0.04,1.00,0.06,0.10,0.00,0.04,0.05,0.41,0.00,0.00,0.76,0.26,0.00,0.00,0.32,0.00,0.51,Phylos Bioscience,SRS3289204,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SRS3289204"" target=""_blank"">SRS3289204</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA470994,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA470994"" target=""_blank""><small>PRJNA470994</small></a>",SRP145424,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP145424"" target=""_blank""><small>SRP145424</small></a>",SRR7151889,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR7151889"" target=""_blank""><small>SRR7151889</small></a>",2018-05-11,1528172,230768957,77.0 MB,
000445,White Cookies,17002874,12 May 2018,C,Cascadia Labs,11.30%,291.00,291.00,,0.00,297.00,,0.00,0.00,,,,,,0.51,0.16,1.90,0.34,0.00,0.00,3.55,0.00,0.07,0.00,0.02,0.05,0.34,0.00,0.00,0.88,0.31,0.00,0.00,0.00,0.00,0.15,,,,,,,,,,,,,,,,
000446,Super Gold,17002950,12 May 2018,C,Cascadia Labs,12.90%,142.00,142.00,,0.00,142.00,,0.00,0.00,,,,,,0.48,0.03,0.55,0.45,0.16,0.11,0.75,0.08,0.47,0.02,0.18,0.49,0.13,0.00,0.00,0.87,0.37,0.00,0.00,0.00,0.00,0.16,,,,,,,,,,,,,,,,
000447,Black Widow,17002951,12 May 2018,C,Cascadia Labs,10.30%,290.00,290.00,,0.00,299.00,,0.00,0.00,,,,,,1.11,0.06,4.24,1.25,0.62,0.60,2.35,0.26,4.78,0.10,0.66,11.09,0.29,0.00,0.00,0.63,0.30,0.00,0.44,0.47,0.00,0.00,,,,,,,,,,,,,,,,
000448,CBDiesel,17002952,12 May 2018,B,Cascadia Labs,12.00%,51.00,51.00,,0.00,52.00,,46.00,47.00,,,,,,1.48,0.03,6.07,0.42,0.00,0.04,0.59,0.04,0.58,0.01,0.03,0.04,0.65,0.00,0.00,0.46,0.18,0.00,0.00,0.00,0.00,0.32,Phylos Bioscience,SRS3289197,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SRS3289197"" target=""_blank"">SRS3289197</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA470994,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA470994"" target=""_blank""><small>PRJNA470994</small></a>",SRP145424,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP145424"" target=""_blank""><small>SRP145424</small></a>",SRR7151896,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR7151896"" target=""_blank""><small>SRR7151896</small></a>",2018-05-11,806388,121758284,34.5 MB,
